Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
Personal care aides,39-9021,Line item,"1,768.4","2,226.5",458.1,25.9,3.9,601.1,"$21,920",No formal educational credential,None,Short-term on-the-job training,
Phlebotomists,31-9097,Line item,112.7,140.8,28.1,24.9,0.5,51.6,"$32,710",Postsecondary nondegree award,None,None,
Ophthalmic medical technicians,29-2057,Line item,37.0,46.1,9.1,24.7,0.4,12.8,"$35,530",Postsecondary nondegree award,None,None,
Nurse midwives,29-1161,Line item,5.3,6.6,1.3,24.6,2.1,2.5,"$99,770",Master's degree,None,None,
Solar photovoltaic installers,47-2231,Line item,5.9,7.4,1.4,24.3,12.1,2.3,"$39,240",High school diploma or equivalent,None,Moderate-term on-the-job training,
Emergency medical technicians and paramedics,29-2041,Line item,241.2,299.6,58.5,24.2,0.2,98.0,"$32,670",Postsecondary nondegree award,None,None,
"Opticians, dispensing",29-2081,Line item,75.2,93.0,17.8,23.7,2.6,37.9,"$35,530",High school diploma or equivalent,None,Long-term on-the-job training,
"Therapists, all other",29-1129,Line item,24.7,30.5,5.8,23.6,50.2,8.3,"$56,700",Bachelor's degree,None,None,
Medical assistants,31-9092,Line item,591.3,730.2,138.9,23.5,0.0,262.1,"$31,540",Postsecondary nondegree award,None,None,
Reinforcing iron and rebar workers,47-2171,Line item,18.7,23.1,4.4,23.4,—,7.2,"$47,600",High school diploma or equivalent,None,Apprenticeship,
Business and financial operations occupations,13-0000,Summary,"7,565.3","8,197.8",632.4,8.4,5.4,"2,191.7","$66,530",—,—,—,
Business operations specialists,13-1000,Summary,"4,708.8","5,054.2",345.5,7.3,4.9,"1,204.5","$65,260",—,—,—,
Biomedical engineers,17-2031,Line item,22.1,27.2,5.1,23.1,6.8,10.9,"$85,620",Bachelor's degree,None,None,
Buyers and purchasing agents,13-1020,Summary,443.2,450.3,7.2,1.6,5.6,135.1,"$60,700",—,—,—,
"Health technologists and technicians, all other",29-2099,Line item,102.2,125.9,23.6,23.1,4.3,33.8,"$41,070",High school diploma or equivalent,None,None,
Orthotists and prosthetists,29-2091,Line item,8.3,10.1,1.9,22.6,4.4,2.7,"$65,630",Master's degree,None,Internship/residency,
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,23.5,28.8,5.3,22.4,0.4,8.2,"$30,570",No formal educational credential,None,Short-term on-the-job training,
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,315.3,324.9,9.6,3.1,1.8,87.9,"$63,670",—,—,—,
Substance abuse and behavioral disorder counselors,21-1011,Line item,94.9,116.2,21.2,22.3,7.5,41.1,"$41,070",Bachelor's degree,None,None,
Cardiovascular technologists and technicians,29-2031,Line item,52.0,63.5,11.5,22.2,0.9,21.4,"$55,570",Associate's degree,None,None,
"Law teachers, postsecondary",25-1112,Line item,21.1,25.7,4.6,21.7,0.3,8.3,"$111,210",Doctoral or professional degree,None,None,
Bicycle repairers,49-3091,Line item,10.8,13.2,2.3,21.7,3.9,6.0,"$27,630",High school diploma or equivalent,None,Moderate-term on-the-job training,
Human resources workers,13-1070,Summary,564.1,579.6,15.6,2.8,1.9,159.3,"$59,440",—,—,—,
Massage therapists,31-9011,Line item,168.8,205.2,36.5,21.6,47.7,49.0,"$39,860",Postsecondary nondegree award,None,None,
Mathematicians,15-2021,Line item,3.5,4.2,0.7,21.4,2.6,1.3,"$105,810",Master's degree,None,None,
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,17.4,21.1,3.7,21.4,—,6.8,"$59,590",Doctoral or professional degree,None,None,
Speech-language pathologists,29-1127,Line item,135.4,164.3,28.9,21.3,6.1,63.1,"$74,680",Master's degree,None,None,
Athletic trainers,29-9091,Line item,25.4,30.8,5.4,21.1,4.5,10.4,"$45,630",Bachelor's degree,None,None,
Anesthesiologists,29-1061,Line item,33.7,40.8,7.1,21.0,9.9,16.1,">=$208,000",Doctoral or professional degree,None,Internship/residency,
Computer systems analysts,15-1121,Line item,567.8,686.3,118.6,20.9,3.9,191.6,"$87,220",Bachelor's degree,None,None,
Medical secretaries,43-6013,Line item,527.6,635.8,108.2,20.5,1.0,163.8,"$33,730",High school diploma or equivalent,None,Moderate-term on-the-job training,
Surgeons,29-1067,Line item,46.0,55.1,9.1,19.8,9.7,21.5,">=$208,000",Doctoral or professional degree,None,Internship/residency,
"Clinical, counseling, and school psychologists",19-3031,Line item,155.3,185.9,30.5,19.6,30.6,63.8,"$73,270",Doctoral or professional degree,None,Internship/residency,
Mental health counselors,21-1014,Line item,134.5,160.9,26.4,19.6,7.6,54.5,"$42,840",Master's degree,None,Internship/residency,
Financial specialists,13-2000,Summary,"2,856.6","3,143.5",287.0,10.0,6.3,987.2,"$68,780",—,—,—,
"Insulation workers, mechanical",47-2132,Line item,30.1,35.9,5.8,19.4,4.0,16.0,"$45,430",High school diploma or equivalent,None,Apprenticeship,
Healthcare social workers,21-1022,Line item,160.1,191.0,30.9,19.3,2.7,69.5,"$53,760",Master's degree,None,None,
"Nursing instructors and teachers, postsecondary",25-1072,Line item,68.6,81.8,13.2,19.3,0.2,25.4,"$69,130",Master's degree,Less than 5 years,None,
Nurse anesthetists,29-1151,Line item,38.2,45.6,7.4,19.3,3.0,16.4,"$160,270",Master's degree,None,None,
Financial analysts and advisors,13-2050,Summary,630.4,724.8,94.5,15.0,9.3,245.4,"$80,940",—,—,—,
"Makeup artists, theatrical and performance",39-5091,Line item,3.6,4.3,0.7,19.2,31.1,1.0,"$60,970",Postsecondary nondegree award,None,None,
Industrial-organizational psychologists,19-3032,Line item,2.0,2.3,0.4,19.1,40.9,0.8,"$82,760",Master's degree,None,Internship/residency,
"Health specialties teachers, postsecondary",25-1071,Line item,210.4,250.4,40.0,19.0,0.2,77.2,"$99,360",Doctoral or professional degree,Less than 5 years,None,
Mental health and substance abuse social workers,21-1023,Line item,117.8,140.0,22.3,18.9,2.6,50.7,"$42,700",Bachelor's degree,None,None,
Credit counselors and loan officers,13-2070,Summary,335.8,365.3,29.6,8.8,0.6,85.4,"$61,030",—,—,—,
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,Line item,25.1,29.9,4.8,18.9,—,12.4,"$50,580",High school diploma or equivalent,None,Long-term on-the-job training,
"Software developers, applications",15-1132,Line item,718.4,853.7,135.3,18.8,2.0,238.0,"$100,080",Bachelor's degree,None,None,
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,158.4,155.6,-2.8,-1.7,10.7,51.9,"$45,300",—,—,—,
Veterinary technologists and technicians,29-2056,Line item,95.6,113.6,17.9,18.7,0.4,27.4,"$32,490",Associate's degree,None,None,
Market research analysts and marketing specialists,13-1161,Line item,495.5,587.8,92.3,18.6,3.1,151.4,"$62,560",Bachelor's degree,None,None,
Dental hygienists,29-2021,Line item,200.5,237.9,37.4,18.6,0.8,70.3,"$72,910",Associate's degree,None,None,
Computer and mathematical occupations,15-0000,Summary,"4,068.3","4,599.7",531.4,13.1,2.6,"1,156.8","$82,830",—,—,—,
Computer occupations,15-1100,Summary,"3,916.1","4,404.6",488.5,12.5,2.6,"1,083.8","$82,860",—,—,—,
Brickmasons and blockmasons,47-2021,Line item,78.1,92.6,14.5,18.6,24.7,21.0,"$49,250",High school diploma or equivalent,None,Apprenticeship,
Computer and information analysts,15-1120,Summary,650.7,784.1,133.4,20.5,3.5,217.1,"$87,960",—,—,—,
Dental assistants,31-9091,Line item,318.8,377.4,58.6,18.4,—,137.5,"$36,940",Postsecondary nondegree award,None,None,
Orthodontists,29-1023,Line item,8.2,9.7,1.5,18.3,23.6,3.2,">=$208,000",Doctoral or professional degree,None,Internship/residency,
Software developers and programmers,15-1130,Summary,"1,591.1","1,790.8",199.7,12.5,3.8,485.4,"$95,830",—,—,—,
Actuaries,15-2011,Line item,24.6,29.0,4.4,18.1,—,11.7,"$100,610",Bachelor's degree,None,Long-term on-the-job training,
"Dentists, general",29-1021,Line item,129.0,152.3,23.3,18.0,23.1,49.6,"$153,900",Doctoral or professional degree,None,None,
Helpers--electricians,47-3013,Line item,69.0,81.5,12.5,18.0,0.4,21.1,"$29,530",High school diploma or equivalent,None,Short-term on-the-job training,
Industrial machinery mechanics,49-9041,Line item,332.2,391.9,59.7,18.0,3.8,145.9,"$50,040",High school diploma or equivalent,None,Long-term on-the-job training,
Database and systems administrators and network architects,15-1140,Summary,648.8,705.0,56.2,8.7,1.2,150.1,"$84,970",—,—,—,
Information security analysts,15-1122,Line item,82.9,97.7,14.8,17.9,0.7,25.5,"$92,600",Bachelor's degree,Less than 5 years,None,
Oral and maxillofacial surgeons,29-1022,Line item,6.8,8.0,1.2,17.9,23.4,2.6,">=$208,000",Doctoral or professional degree,None,Internship/residency,
Prosthodontists,29-1024,Line item,0.8,1.0,0.1,17.8,23.6,0.3,"$126,050",Doctoral or professional degree,None,Internship/residency,
Computer support specialists,15-1150,Summary,766.9,855.7,88.8,11.6,0.5,187.4,"$52,160",—,—,—,
Medical and clinical laboratory technicians,29-2012,Line item,163.4,192.4,29.0,17.8,0.2,68.1,"$38,950",Associate's degree,None,None,
Film and video editors,27-4032,Line item,33.5,39.4,5.9,17.6,29.5,8.9,"$62,760",Bachelor's degree,None,None,
Obstetricians and gynecologists,29-1064,Line item,24.4,28.7,4.3,17.6,9.9,10.8,">=$208,000",Doctoral or professional degree,None,Internship/residency,
Mathematical science occupations,15-2000,Summary,152.2,195.1,42.9,28.2,0.9,73.0,"$81,750",—,—,—,
Nursing assistants,31-1014,Line item,"1,492.1","1,754.1",262.0,17.6,2.3,599.0,"$26,590",Postsecondary nondegree award,None,None,
Chiropractors,29-1011,Line item,45.2,53.1,7.9,17.5,33.9,16.0,"$67,520",Doctoral or professional degree,None,None,
"Computer-controlled machine tool operators, metal and plastic",51-4011,Line item,148.8,174.8,26.0,17.5,—,71.2,"$37,880",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Entertainment attendants and related workers, all other",39-3099,Line item,16.9,19.8,2.9,17.1,2.8,10.0,"$23,270",High school diploma or equivalent,None,Short-term on-the-job training,
Miscellaneous mathematical science occupations,15-2090,Summary,3.0,2.9,-0.1,-1.8,2.8,0.6,"$60,290",—,—,—,
"Social sciences teachers, postsecondary, all other",25-1069,Line item,12.9,15.1,2.2,17.0,—,4.5,"$70,740",Doctoral or professional degree,None,None,
Medical and health services managers,11-9111,Line item,333.0,389.3,56.3,16.9,4.3,140.5,"$96,540",Bachelor's degree,Less than 5 years,None,
Architecture and engineering occupations,17-0000,Summary,"2,532.7","2,599.9",67.2,2.7,2.9,710.9,"$77,900",—,—,—,
"Architects, surveyors, and cartographers",17-1000,Summary,191.7,203.5,11.8,6.1,14.6,52.5,"$70,010",—,—,—,
"Architects, except naval",17-1010,Summary,135.1,144.2,9.0,6.7,19.4,31.3,"$74,850",—,—,—,
Pile-driver operators,47-2072,Line item,3.7,4.3,0.6,16.6,4.4,1.2,"$55,070",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Mathematical science teachers, postsecondary",25-1022,Line item,63.5,73.9,10.4,16.4,0.1,21.7,"$69,520",Doctoral or professional degree,None,None,
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,56.6,59.3,2.7,4.8,3.2,21.2,"$60,200",—,—,—,
Dietitians and nutritionists,29-1031,Line item,66.7,77.6,11.0,16.4,6.3,16.0,"$58,920",Bachelor's degree,None,Internship/residency,
Licensed practical and licensed vocational nurses,29-2061,Line item,719.9,837.2,117.3,16.3,1.0,322.2,"$44,090",Postsecondary nondegree award,None,None,
Engineers,17-2000,Summary,"1,636.2","1,701.2",65.0,4.0,2.2,510.9,"$91,010",—,—,—,
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,24.7,28.7,4.0,16.3,—,10.1,"$36,430",No formal educational credential,None,Moderate-term on-the-job training,
"Biological science teachers, postsecondary",25-1042,Line item,64.3,74.8,10.4,16.2,0.2,21.8,"$76,650",Doctoral or professional degree,None,None,
Registered nurses,29-1141,Line item,"2,751.0","3,190.3",439.3,16.0,0.4,"1,088.4","$68,450",Bachelor's degree,None,None,
"Psychology teachers, postsecondary",25-1066,Line item,47.3,54.7,7.5,15.8,0.2,15.8,"$73,140",Doctoral or professional degree,None,None,
Credit counselors,13-2071,Line item,32.6,37.6,5.0,15.5,0.5,10.5,"$44,380",Bachelor's degree,None,Moderate-term on-the-job training,
Computer and information systems managers,11-3021,Line item,348.5,402.2,53.7,15.4,1.3,94.8,"$135,800",Bachelor's degree,5 years or more,None,
Electrical and electronics engineers,17-2070,Summary,315.9,315.7,-0.1,0.0,1.2,71.4,"$96,270",—,—,—,
"Chemistry teachers, postsecondary",25-1052,Line item,26.6,30.7,4.1,15.4,—,8.8,"$76,750",Doctoral or professional degree,None,None,
Self-enrichment education teachers,25-3021,Line item,348.7,402.2,53.5,15.4,21.5,119.2,"$37,330",High school diploma or equivalent,Less than 5 years,None,
Medical records and health information technicians,29-2071,Line item,188.6,217.6,29.0,15.4,0.3,71.2,"$38,040",Postsecondary nondegree award,None,None,
"Industrial engineers, including health and safety",17-2110,Summary,266.3,270.0,3.7,1.4,1.0,81.8,"$84,510",—,—,—,
"Sociology teachers, postsecondary",25-1067,Line item,20.7,23.9,3.2,15.3,—,6.8,"$71,840",Doctoral or professional degree,None,None,
Helpers--roofers,47-3016,Line item,11.3,13.0,1.7,15.3,—,3.1,"$27,670",No formal educational credential,None,Short-term on-the-job training,
Millwrights,49-9044,Line item,40.9,47.1,6.2,15.2,—,14.5,"$52,440",High school diploma or equivalent,None,Apprenticeship,
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.6,13.3,1.7,15.1,—,3.8,"$73,020",Doctoral or professional degree,None,None,
"Physics teachers, postsecondary",25-1054,Line item,17.7,20.4,2.7,15.0,—,5.8,"$84,570",Doctoral or professional degree,None,None,
Community health workers,21-1094,Line item,54.3,62.4,8.1,14.9,0.6,18.8,"$37,330",High school diploma or equivalent,None,Short-term on-the-job training,
Psychiatrists,29-1066,Line item,28.2,32.4,4.2,14.9,7.5,11.8,"$194,740",Doctoral or professional degree,None,Internship/residency,
"Physicians and surgeons, all other",29-1069,Line item,347.2,398.8,51.7,14.9,8.3,145.1,"$206,920",Doctoral or professional degree,None,Internship/residency,
Marriage and family therapists,21-1013,Line item,33.7,38.7,5.0,14.8,6.6,12.1,"$49,170",Master's degree,None,Internship/residency,
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,704.7,695.1,-9.6,-1.4,1.5,147.5,"$54,940",—,—,—,
Drafters,17-3010,Summary,204.4,198.3,-6.2,-3.0,1.4,25.8,"$53,480",—,—,—,
Surgical technologists,29-2055,Line item,99.8,114.5,14.7,14.8,0.4,24.6,"$45,160",Postsecondary nondegree award,None,None,
"Cooks, restaurant",35-2014,Line item,"1,109.7","1,268.7",158.9,14.3,—,452.5,"$24,140",No formal educational credential,Less than 5 years,Moderate-term on-the-job training,
Stonemasons,47-2022,Line item,14.9,17.1,2.1,14.3,24.9,3.4,"$39,780",High school diploma or equivalent,None,Apprenticeship,
Podiatrists,29-1081,Line item,9.6,11.0,1.4,14.1,5.4,3.3,"$124,830",Doctoral or professional degree,None,Internship/residency,
"Engineering technicians, except drafters",17-3020,Summary,443.0,443.9,0.9,0.2,0.5,115.2,"$57,310",—,—,—,
Radiation therapists,29-1124,Line item,16.6,18.9,2.3,14.0,—,6.2,"$80,160",Associate's degree,None,None,
Medical and clinical laboratory technologists,29-2011,Line item,164.8,187.9,23.1,14.0,0.2,62.5,"$61,070",Bachelor's degree,None,None,
Medical equipment preparers,31-9093,Line item,52.0,59.3,7.3,14.0,1.9,18.1,"$34,400",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Social work teachers, postsecondary",25-1113,Line item,13.7,15.6,1.9,13.9,—,4.3,"$64,030",Doctoral or professional degree,None,None,
"Healthcare practitioners and technical workers, all other",29-9099,Line item,44.2,50.3,6.1,13.8,4.6,14.9,"$48,820",Postsecondary nondegree award,None,None,
Electricians,47-2111,Line item,628.8,714.7,85.9,13.7,8.9,181.8,"$52,720",High school diploma or equivalent,None,Apprenticeship,
Management analysts,13-1111,Line item,758.0,861.4,103.4,13.6,19.1,208.5,"$81,330",Bachelor's degree,Less than 5 years,None,
Residential advisors,39-9041,Line item,103.7,117.9,14.1,13.6,—,45.7,"$25,570",High school diploma or equivalent,None,Short-term on-the-job training,
"Earth drillers, except oil and gas",47-5021,Line item,20.0,22.7,2.7,13.6,3.2,7.2,"$44,360",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Life, physical, and social science occupations",19-0000,Summary,"1,310.4","1,408.0",97.6,7.4,5.8,472.6,"$63,340",—,—,—,
Life scientists,19-1000,Summary,310.9,330.0,19.1,6.1,1.6,116.6,"$71,950",—,—,—,
Agricultural and food scientists,19-1010,Summary,36.1,38.0,1.9,5.4,4.0,14.5,"$62,920",—,—,—,
