Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
Administrative services managers,11-3011,Line item,287.3,310.8,23.5,8.2,0.5,77.2,"$90,050",Bachelor's degree,Less than 5 years,None,
Dancers and choreographers,27-2030,Summary,20.1,21.1,1.1,5.3,15.4,7.5,"$35,060",—,—,—,
Biochemists and biophysicists,19-1021,Line item,34.1,36.9,2.8,8.2,3.1,11.9,"$82,180",Doctoral or professional degree,None,None,
"Educational, guidance, school, and vocational counselors",21-1012,Line item,273.4,295.9,22.5,8.2,2.8,79.7,"$54,560",Master's degree,None,None,
"Musicians, singers, and related workers",27-2040,Summary,255.4,264.0,8.6,3.4,34.8,82.7,—,—,—,—,
"Community and social service specialists, all other",21-1099,Line item,102.7,111.1,8.4,8.2,0.5,28.6,"$43,120",Master's degree,None,None,
"Maintenance workers, machinery",49-9043,Line item,91.2,98.7,7.4,8.2,—,22.1,"$44,550",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Property, real estate, and community association managers",11-9141,Line item,313.8,339.1,25.3,8.1,43.7,79.9,"$57,040",High school diploma or equivalent,Less than 5 years,None,
Media and communication workers,27-3000,Summary,747.9,775.3,27.4,3.7,21.2,198.2,"$54,780",—,—,—,
Announcers,27-3010,Summary,52.5,46.7,-5.8,-11.0,27.5,15.5,"$30,830",—,—,—,
Loan officers,13-2072,Line item,303.2,327.7,24.5,8.1,0.6,75.0,"$63,650",Bachelor's degree,None,Moderate-term on-the-job training,
"Library science teachers, postsecondary",25-1082,Line item,5.6,6.0,0.4,8.0,—,1.4,"$68,410",Doctoral or professional degree,None,None,
"News analysts, reporters and correspondents",27-3020,Summary,54.4,49.6,-4.8,-8.9,14.7,17.5,"$38,870",—,—,—,
Curators,25-4012,Line item,13.1,14.1,1.0,8.0,8.3,5.1,"$53,360",Master's degree,None,None,
Baggage porters and bellhops,39-6011,Line item,43.6,47.1,3.5,8.0,—,12.4,"$22,260",High school diploma or equivalent,None,Short-term on-the-job training,
Construction and building inspectors,47-4011,Line item,101.2,109.2,8.1,8.0,9.2,36.3,"$58,480",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,
Writers and editors,27-3040,Summary,305.8,308.0,2.2,0.7,35.5,85.7,"$61,550",—,—,—,
Fence erectors,47-4031,Line item,24.4,26.4,2.0,8.0,14.7,6.7,"$33,150",No formal educational credential,None,Moderate-term on-the-job training,
Appraisers and assessors of real estate,13-2021,Line item,85.8,92.5,6.8,7.9,23.7,20.5,"$51,850",Bachelor's degree,None,Long-term on-the-job training,
Network and computer systems administrators,15-1142,Line item,382.6,412.8,30.2,7.9,1.0,79.4,"$79,700",Bachelor's degree,None,None,
Miscellaneous media and communication workers,27-3090,Summary,94.5,115.4,21.0,22.2,19.3,36.0,"$45,460",—,—,—,
Physicists,19-2012,Line item,18.1,19.5,1.4,7.9,0.9,4.9,"$115,870",Doctoral or professional degree,None,None,
"Geography teachers, postsecondary",25-1064,Line item,5.4,5.9,0.4,7.9,—,1.4,"$76,810",Doctoral or professional degree,None,None,
Media and communication equipment workers,27-4000,Summary,321.6,338.9,17.4,5.4,32.3,82.0,"$45,680",—,—,—,
Broadcast and sound engineering technicians and radio operators,27-4010,Summary,118.4,126.1,7.7,6.5,8.7,32.2,"$42,590",—,—,—,
Audio-visual and multimedia collections specialists,25-9011,Line item,10.0,10.8,0.8,7.9,3.7,1.8,"$47,840",Bachelor's degree,Less than 5 years,None,
Automotive glass installers and repairers,49-3022,Line item,19.3,20.8,1.5,7.8,17.4,4.1,"$34,340",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Food preparation and serving related workers, all other",35-9099,Line item,46.1,49.6,3.5,7.7,0.3,26.6,"$21,090",No formal educational credential,None,Short-term on-the-job training,
Maids and housekeeping cleaners,37-2012,Line item,"1,457.7","1,569.4",111.7,7.7,9.6,459.4,"$21,820",No formal educational credential,None,Short-term on-the-job training,
Amusement and recreation attendants,39-3091,Line item,288.6,310.9,22.3,7.7,2.4,143.2,"$20,160",No formal educational credential,None,Short-term on-the-job training,
"Television, video, and motion picture camera operators and editors",27-4030,Summary,58.9,65.3,6.4,10.8,28.7,11.7,"$59,040",—,—,—,
Lodging managers,11-9081,Line item,48.4,52.1,3.7,7.6,32.6,13.0,"$51,840",High school diploma or equivalent,Less than 5 years,None,
Paralegals and legal assistants,23-2011,Line item,279.5,300.8,21.2,7.6,1.7,82.7,"$49,500",Associate's degree,None,None,
Sound engineering technicians,27-4014,Line item,16.1,17.4,1.2,7.6,9.4,4.3,"$53,680",Postsecondary nondegree award,None,Short-term on-the-job training,
Healthcare practitioners and technical occupations,29-0000,Summary,"8,236.5","9,584.6","1,348.1",16.4,2.9,"3,161.6","$63,420",—,—,—,
Health diagnosing and treating practitioners,29-1000,Summary,"5,132.4","5,994.7",862.3,16.8,4.1,"2,073.4","$77,980",—,—,—,
Crane and tower operators,53-7021,Line item,45.5,49.0,3.4,7.6,1.3,19.2,"$52,170",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
Dentists,29-1020,Summary,151.5,178.2,26.7,17.6,22.8,57.6,"$159,770",—,—,—,
Training and development specialists,13-1151,Line item,252.6,271.5,18.9,7.5,0.9,80.4,"$59,020",Bachelor's degree,Less than 5 years,None,
Computer network support specialists,15-1152,Line item,181.0,194.6,13.6,7.5,0.5,36.9,"$62,670",Associate's degree,None,None,
Helpers--carpenters,47-3012,Line item,39.7,42.7,3.0,7.5,0.4,8.0,"$28,810",No formal educational credential,None,Short-term on-the-job training,
Ship engineers,53-5031,Line item,10.3,11.1,0.8,7.5,—,3.5,"$70,570",Postsecondary nondegree award,Less than 5 years,None,
"Education, training, and library workers, all other",25-9099,Line item,124.0,133.1,9.1,7.4,3.7,21.1,"$42,600",Bachelor's degree,None,None,
"Painters, construction and maintenance",47-2141,Line item,360.5,387.1,26.5,7.4,41.3,83.9,"$37,570",No formal educational credential,None,Moderate-term on-the-job training,
Hazardous materials removal workers,47-4041,Line item,43.7,47.0,3.3,7.4,3.2,13.0,"$40,640",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Food processing workers, all other",51-3099,Line item,44.4,47.7,3.3,7.4,1.6,12.4,"$24,160",No formal educational credential,None,Moderate-term on-the-job training,
Physicians and surgeons,29-1060,Summary,708.3,807.6,99.3,14.0,8.8,290.0,">=$208,000",—,—,—,
Animal scientists,19-1011,Line item,2.9,3.2,0.2,7.3,2.9,1.2,"$60,330",Bachelor's degree,None,None,
Terrazzo workers and finishers,47-2053,Line item,3.4,3.6,0.2,7.3,2.2,0.7,"$40,930",High school diploma or equivalent,None,Apprenticeship,
"Service unit operators, oil, gas, and mining",47-5013,Line item,64.9,69.6,4.7,7.3,0.6,26.9,"$48,610",No formal educational credential,None,Moderate-term on-the-job training,
"Life scientists, all other",19-1099,Line item,10.6,11.3,0.8,7.2,—,4.0,"$73,860",Bachelor's degree,None,None,
"Special education teachers, all other",25-2059,Line item,40.4,43.3,2.9,7.2,0.2,10.5,"$53,860",Bachelor's degree,None,Internship/residency,
Parts salespersons,41-2022,Line item,234.7,251.5,16.8,7.2,0.6,68.9,"$29,780",No formal educational credential,None,Moderate-term on-the-job training,
Farm equipment mechanics and service technicians,49-3041,Line item,40.3,43.2,2.9,7.2,3.2,12.4,"$37,820",High school diploma or equivalent,None,Long-term on-the-job training,
General and operations managers,11-1021,Line item,"2,124.1","2,275.2",151.1,7.1,0.4,688.8,"$99,310",Bachelor's degree,5 years or more,None,
Public relations and fundraising managers,11-2031,Line item,65.8,70.5,4.7,7.1,0.3,27.1,"$107,320",Bachelor's degree,5 years or more,None,
Adult basic and secondary education and literacy teachers and instructors,25-3011,Line item,77.5,83.0,5.5,7.1,9.1,20.1,"$50,650",Bachelor's degree,None,Internship/residency,
Therapists,29-1120,Summary,655.9,813.8,157.9,24.1,5.9,311.2,"$75,020",—,—,—,
Plasterers and stucco masons,47-2161,Line item,27.0,28.9,1.9,7.1,21.6,3.1,"$38,890",No formal educational credential,None,Long-term on-the-job training,
Refuse and recyclable material collectors,53-7081,Line item,131.5,140.9,9.4,7.1,10.0,42.4,"$35,270",No formal educational credential,None,Short-term on-the-job training,
Training and development managers,11-3131,Line item,32.9,35.2,2.3,7.0,3.1,11.9,"$105,830",Bachelor's degree,5 years or more,None,
Instructional coordinators,25-9031,Line item,151.1,161.6,10.5,7.0,4.9,25.1,"$62,460",Master's degree,5 years or more,None,
Sales engineers,41-9031,Line item,69.9,74.9,4.9,7.0,1.7,23.0,"$100,000",Bachelor's degree,None,Moderate-term on-the-job training,
Cargo and freight agents,43-5011,Line item,78.8,84.3,5.5,7.0,0.2,31.3,"$41,920",High school diploma or equivalent,None,Short-term on-the-job training,
"Office and administrative support workers, all other",43-9199,Line item,264.5,282.9,18.4,7.0,4.1,89.5,"$34,020",High school diploma or equivalent,None,Short-term on-the-job training,
Bakers,51-3011,Line item,185.3,198.3,13.0,7.0,5.6,53.6,"$25,090",No formal educational credential,None,Long-term on-the-job training,
"Architects, except landscape and naval",17-1011,Line item,112.6,120.4,7.8,6.9,19.5,26.3,"$76,930",Bachelor's degree,None,Internship/residency,
Conservation scientists,19-1031,Line item,21.1,22.5,1.4,6.9,1.2,10.6,"$61,810",Bachelor's degree,None,None,
Hydrologists,19-2043,Line item,7.0,7.5,0.5,6.9,1.4,2.6,"$80,480",Bachelor's degree,None,None,
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,347.8,371.7,23.8,6.9,2.6,95.4,"$78,980",Bachelor's degree,None,Moderate-term on-the-job training,
"Construction and related workers, all other",47-4099,Line item,35.4,37.8,2.4,6.9,9.9,7.8,"$36,890",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Rock splitters, quarry",47-5051,Line item,3.7,3.9,0.3,6.9,2.5,0.7,"$34,020",No formal educational credential,None,Short-term on-the-job training,
Financial managers,11-3031,Line item,555.9,593.5,37.7,6.8,3.1,169.3,"$121,750",Bachelor's degree,5 years or more,None,
Health technologists and technicians,29-2000,Summary,"2,946.6","3,416.1",469.5,15.9,0.8,"1,040.4","$42,750",—,—,—,
Clinical laboratory technologists and technicians,29-2010,Summary,328.2,380.3,52.1,15.9,0.2,130.5,"$50,930",—,—,—,
"Life, physical, and social science technicians, all other",19-4099,Line item,78.2,83.5,5.3,6.8,2.5,38.1,"$46,040",Associate's degree,None,None,
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,2.3,2.4,0.2,6.8,—,0.6,"$85,880",Doctoral or professional degree,None,None,
"Teachers and instructors, all other",25-3099,Line item,982.5,"1,049.0",66.5,6.8,8.5,251.7,"$30,110",Bachelor's degree,None,Internship/residency,
Diagnostic related technologists and technicians,29-2030,Summary,363.9,412.4,48.5,13.3,0.9,117.3,"$61,160",—,—,—,
Archivists,25-4011,Line item,6.9,7.4,0.5,6.8,6.8,2.6,"$50,500",Master's degree,None,None,
Set and exhibit designers,27-1027,Line item,13.3,14.2,0.9,6.8,21.8,4.1,"$50,990",Bachelor's degree,None,None,
"Entertainers and performers, sports and related workers, all other",27-2099,Line item,30.0,32.1,2.1,6.8,48.3,11.5,—,No formal educational credential,None,Short-term on-the-job training,
Retail salespersons,41-2031,Line item,"4,624.9","4,939.1",314.2,6.8,2.8,"1,917.2","$22,680",No formal educational credential,None,Short-term on-the-job training,
Soil and plant scientists,19-1013,Line item,17.7,18.9,1.2,6.7,3.3,7.3,"$62,300",Bachelor's degree,None,None,
"Preschool teachers, except special education",25-2011,Line item,441.0,470.6,29.6,6.7,1.5,158.7,"$28,790",Associate's degree,None,None,
Health practitioner support technologists and technicians,29-2050,Summary,712.8,794.7,81.8,11.5,0.4,154.5,"$33,140",—,—,—,
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,141.3,150.8,9.5,6.7,0.0,29.4,"$20,290",No formal educational credential,None,Short-term on-the-job training,
"Morticians, undertakers, and funeral directors",39-4031,Line item,31.1,33.2,2.1,6.7,19.1,8.9,"$50,090",Associate's degree,None,Long-term on-the-job training,
Sheet metal workers,47-2211,Line item,141.0,150.5,9.4,6.7,4.6,39.8,"$46,940",High school diploma or equivalent,None,Apprenticeship,
"Education administrators, preschool and childcare center/program",11-9031,Line item,64.0,68.2,4.2,6.6,9.7,22.9,"$45,790",Bachelor's degree,Less than 5 years,None,
"Vocational education teachers, postsecondary",25-1194,Line item,138.5,147.6,9.1,6.6,0.3,33.6,"$50,660",Bachelor's degree,Less than 5 years,None,
Compensation and benefits managers,11-3111,Line item,16.9,18.0,1.1,6.5,—,6.0,"$116,240",Bachelor's degree,5 years or more,None,
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,8.3,8.8,0.5,6.4,—,2.7,"$93,720",Bachelor's degree,None,None,
Teacher assistants,25-9041,Line item,"1,234.1","1,312.8",78.6,6.4,0.2,374.5,"$25,410","Some college, no degree",None,None,
Crossing guards,33-9091,Line item,69.8,74.2,4.5,6.4,1.3,17.0,"$26,700",No formal educational credential,None,Short-term on-the-job training,
"Grounds maintenance workers, all other",37-3019,Line item,24.5,26.1,1.6,6.4,19.6,6.0,"$28,470",No formal educational credential,None,Short-term on-the-job training,
Miscellaneous health technologists and technicians,29-2090,Summary,116.4,143.5,27.1,23.3,4.3,38.6,"$42,500",—,—,—,
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,453.1","1,546.5",93.4,6.4,2.5,392.3,"$57,140",High school diploma or equivalent,None,Moderate-term on-the-job training,
Carpenters,47-2031,Line item,945.4,"1,005.8",60.4,6.4,33.6,169.1,"$43,600",High school diploma or equivalent,None,Apprenticeship,
Tile and marble setters,47-2044,Line item,55.1,58.7,3.5,6.4,41.9,11.3,"$40,460",No formal educational credential,None,Long-term on-the-job training,
Other healthcare practitioners and technical occupations,29-9000,Summary,157.4,173.8,16.3,10.4,4.3,47.8,"$59,260",—,—,—,
Occupational health and safety specialists and technicians,29-9010,Summary,85.5,89.6,4.2,4.9,4.1,21.3,"$66,820",—,—,—,
"Transportation attendants, except flight attendants",53-6061,Line item,16.5,17.6,1.0,6.4,—,4.1,"$26,060",High school diploma or equivalent,None,Short-term on-the-job training,
Epidemiologists,19-1041,Line item,5.8,6.1,0.4,6.3,—,2.2,"$70,820",Master's degree,None,None,
Miscellaneous health practitioners and technical workers,29-9090,Summary,72.0,84.1,12.1,16.9,4.6,26.5,"$47,790",—,—,—,
Urban and regional planners,19-3051,Line item,38.0,40.4,2.4,6.3,0.8,9.4,"$70,020",Master's degree,None,None,
"Special education teachers, kindergarten and elementary school",25-2052,Line item,198.1,210.6,12.5,6.3,0.1,49.8,"$57,040",Bachelor's degree,None,Internship/residency,
Choreographers,27-2032,Line item,7.1,7.5,0.4,6.3,15.2,2.7,"$48,240",High school diploma or equivalent,5 years or more,Long-term on-the-job training,
Healthcare support occupations,31-0000,Summary,"4,238.0","5,212.2",974.2,23.0,3.5,"1,907.6","$27,910",—,—,—,
"Nursing, psychiatric, and home health aides",31-1000,Summary,"2,536.0","3,156.3",620.3,24.5,2.2,"1,193.1","$24,810",—,—,—,
"Cooks, institution and cafeteria",35-2012,Line item,417.6,443.9,26.3,6.3,—,136.8,"$24,750",No formal educational credential,None,Short-term on-the-job training,
Food preparation workers,35-2021,Line item,873.9,928.8,54.8,6.3,0.7,298.3,"$21,440",No formal educational credential,None,Short-term on-the-job training,
"Personal care and service workers, all other",39-9099,Line item,93.2,99.1,5.9,6.3,29.5,26.9,"$25,420",High school diploma or equivalent,None,Short-term on-the-job training,
Motorboat operators,53-5022,Line item,4.7,5.0,0.3,6.3,6.6,2.1,"$40,210",Postsecondary nondegree award,Less than 5 years,None,
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,170.6,238.8,68.2,40.0,1.1,117.6,"$48,970",—,—,—,
Occupational therapy assistants and aides,31-2010,Summary,41.9,58.7,16.8,40.1,1.0,28.9,"$56,070",—,—,—,
Traffic technicians,53-6041,Line item,6.8,7.2,0.4,6.3,—,3.9,"$45,150",High school diploma or equivalent,None,Moderate-term on-the-job training,
Emergency management directors,11-9161,Line item,10.5,11.2,0.7,6.2,—,1.9,"$70,500",Bachelor's degree,5 years or more,None,
Physical therapist assistants and aides,31-2020,Summary,128.7,180.2,51.4,39.9,1.1,88.7,"$45,290",—,—,—,
"Wholesale and retail buyers, except farm products",13-1022,Line item,129.5,137.5,8.1,6.2,14.4,49.1,"$53,340",Bachelor's degree,None,Long-term on-the-job training,
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,25.2,26.8,1.6,6.2,0.9,9.0,"$86,720",Bachelor's degree,None,None,
Other healthcare support occupations,31-9000,Summary,"1,531.4","1,817.1",285.7,18.7,6.0,596.9,"$33,170",—,—,—,
"Child, family, and school social workers",21-1021,Line item,305.2,324.2,19.0,6.2,1.5,92.5,"$43,250",Bachelor's degree,None,None,
Miscellaneous healthcare support occupations,31-9090,Summary,"1,362.6","1,611.8",249.3,18.3,0.9,547.9,"$32,880",—,—,—,
Graduate teaching assistants,25-1191,Line item,159.2,169.1,9.9,6.2,0.1,38.0,"$34,240",Bachelor's degree,None,None,
"Designers, all other",27-1029,Line item,8.9,9.5,0.6,6.2,22.5,2.7,"$53,380",Bachelor's degree,None,None,
Public relations specialists,27-3031,Line item,240.7,255.6,14.9,6.2,3.8,43.6,"$58,020",Bachelor's degree,None,None,
Insurance claims and policy processing clerks,43-9041,Line item,285.4,303.1,17.7,6.2,0.4,89.2,"$38,430",High school diploma or equivalent,None,Moderate-term on-the-job training,
Floor sanders and finishers,47-2043,Line item,7.9,8.4,0.5,6.2,41.9,1.6,"$36,860",No formal educational credential,None,Moderate-term on-the-job training,
Excavating and loading machine and dragline operators,53-7032,Line item,53.9,57.3,3.4,6.2,12.2,9.7,"$41,030",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
Credit analysts,13-2041,Line item,69.4,73.6,4.2,6.1,—,34.3,"$69,930",Bachelor's degree,None,None,
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,415.3,440.7,25.4,6.1,0.3,233.0,"$20,200",No formal educational credential,None,Short-term on-the-job training,
Protective service occupations,33-0000,Summary,"3,443.8","3,597.7",153.9,4.5,0.5,972.5,"$38,660",—,—,—,
Supervisors of protective service workers,33-1000,Summary,288.0,300.5,12.5,4.3,0.3,112.4,"$67,430",—,—,—,
First-line supervisors of law enforcement workers,33-1010,Summary,155.7,161.7,6.0,3.9,—,58.3,"$77,500",—,—,—,
Landscaping and groundskeeping workers,37-3011,Line item,"1,167.8","1,239.6",71.7,6.1,24.4,282.3,"$26,320",No formal educational credential,None,Short-term on-the-job training,
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,25.6,27.1,1.5,6.1,4.0,10.2,"$35,660",No formal educational credential,None,Short-term on-the-job training,
Medical equipment repairers,49-9062,Line item,48.0,50.9,2.9,6.1,13.5,11.5,"$48,070",Associate's degree,None,Moderate-term on-the-job training,
"Maintenance and repair workers, general",49-9071,Line item,"1,374.7","1,458.1",83.5,6.1,0.7,443.7,"$36,940",High school diploma or equivalent,None,Long-term on-the-job training,
Fire fighting and prevention workers,33-2000,Summary,341.4,359.7,18.3,5.4,0.1,117.3,"$48,290",—,—,—,
"Agricultural sciences teachers, postsecondary",25-1041,Line item,12.1,12.8,0.7,6.0,—,2.9,"$91,580",Doctoral or professional degree,None,None,
Fire inspectors,33-2020,Summary,14.1,15.0,0.9,6.4,2.6,5.0,"$56,130",—,—,—,
Multimedia artists and animators,27-1014,Line item,64.4,68.3,3.9,6.0,54.9,15.9,"$65,300",Bachelor's degree,None,Moderate-term on-the-job training,
"Cooks, all other",35-2019,Line item,21.5,22.8,1.3,6.0,—,7.0,"$27,120",No formal educational credential,None,Moderate-term on-the-job training,
Law enforcement workers,33-3000,Summary,"1,290.6","1,339.7",49.1,3.8,0.1,441.3,"$53,240",—,—,—,
"Bailiffs, correctional officers, and jailers",33-3010,Summary,474.8,492.8,17.9,3.8,—,148.5,"$42,820",—,—,—,
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,Line item,481.2,510.0,28.9,6.0,0.4,318.1,"$19,970",No formal educational credential,None,Short-term on-the-job training,
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,247.9,262.8,14.9,6.0,28.2,54.0,"$38,190",High school diploma or equivalent,Less than 5 years,None,
"Radio, cellular, and tower equipment installers and repairs",49-2021,Line item,13.6,14.4,0.8,6.0,1.7,2.1,"$52,480",Associate's degree,None,Moderate-term on-the-job training,
Motorcycle mechanics,49-3052,Line item,17.0,18.0,1.0,6.0,9.7,4.4,"$34,720",Postsecondary nondegree award,None,Short-term on-the-job training,
Water and wastewater treatment plant and system operators,51-8031,Line item,117.0,124.0,7.0,6.0,—,36.7,"$45,760",High school diploma or equivalent,None,Long-term on-the-job training,
Police officers,33-3050,Summary,683.5,717.9,34.4,5.0,—,259.7,"$59,750",—,—,—,
"Kindergarten teachers, except special education",25-2012,Line item,159.4,168.9,9.5,5.9,0.3,56.1,"$52,620",Bachelor's degree,None,Internship/residency,
"Middle school teachers, except special and career/technical education",25-2022,Line item,627.5,664.2,36.8,5.9,—,175.5,"$56,720",Bachelor's degree,None,Internship/residency,
Other protective service workers,33-9000,Summary,"1,523.8","1,597.9",74.1,4.9,1.1,301.4,"$25,960",—,—,—,
"Career/technical education teachers, middle school",25-2023,Line item,13.7,14.6,0.8,5.9,—,3.9,"$57,560",Bachelor's degree,Less than 5 years,Internship/residency,
"Special education teachers, middle school",25-2053,Line item,93.0,98.5,5.5,5.9,0.1,23.0,"$58,560",Bachelor's degree,None,Internship/residency,
Security guards and gaming surveillance officers,33-9030,Summary,"1,102.5","1,157.5",55.0,5.0,0.7,210.6,"$25,840",—,—,—,
"Special education teachers, secondary school",25-2054,Line item,134.0,141.9,7.9,5.9,0.1,33.1,"$59,700",Bachelor's degree,None,Internship/residency,
Coaches and scouts,27-2022,Line item,250.6,265.4,14.8,5.9,8.4,99.4,"$31,460",Bachelor's degree,None,None,
Miscellaneous protective service workers,33-9090,Summary,371.5,387.9,16.4,4.4,0.3,75.5,"$25,020",—,—,—,
"Painters, transportation equipment",51-9122,Line item,54.3,57.5,3.2,5.9,6.2,13.4,"$42,150",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Bus drivers, transit and intercity",53-3021,Line item,167.8,177.6,9.8,5.9,0.7,31.9,"$39,790",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Education administrators, elementary and secondary school",11-9032,Line item,240.0,254.0,14.0,5.8,2.1,83.8,"$92,510",Master's degree,5 years or more,None,
"Elementary school teachers, except special education",25-2021,Line item,"1,358.0","1,436.3",78.3,5.8,—,378.7,"$55,800",Bachelor's degree,None,Internship/residency,
Food preparation and serving related occupations,35-0000,Summary,"12,467.6","13,280.4",812.9,6.5,0.6,"5,549.0","$20,810",—,—,—,
Supervisors of food preparation and serving workers,35-1000,Summary,"1,017.6","1,117.4",99.8,9.8,2.0,383.3,"$32,790",—,—,—,
"Secondary school teachers, except special and career/technical education",25-2031,Line item,961.6,"1,017.5",55.9,5.8,—,284.0,"$58,030",Bachelor's degree,None,Internship/residency,
Animal control workers,33-9011,Line item,15.0,15.9,0.9,5.8,4.9,4.3,"$34,550",High school diploma or equivalent,None,Moderate-term on-the-job training,
Cooks and food preparation workers,35-2000,Summary,"3,164.7","3,316.6",151.8,4.8,1.1,"1,091.1","$22,460",—,—,—,
Cooks,35-2010,Summary,"2,290.8","2,387.8",97.0,4.2,1.2,792.8,"$22,850",—,—,—,
"Protective service workers, all other",33-9099,Line item,113.8,120.4,6.6,5.8,—,22.6,"$28,720",High school diploma or equivalent,None,Short-term on-the-job training,
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,"2,360.6","2,496.9",136.3,5.8,4.0,605.2,"$24,190",No formal educational credential,None,Short-term on-the-job training,
"Mathematical science occupations, all other",15-2099,Line item,1.8,1.9,0.1,5.7,—,0.4,"$65,050",Bachelor's degree,None,None,
Economists,19-3011,Line item,21.5,22.7,1.2,5.7,8.3,7.0,"$101,050",Master's degree,None,None,
Social science research assistants,19-4061,Line item,32.0,33.8,1.8,5.6,3.0,15.2,"$43,190",Bachelor's degree,None,None,
Clergy,21-2011,Line item,244.2,258.0,13.8,5.6,0.0,66.3,"$45,740",Bachelor's degree,None,Moderate-term on-the-job training,
Lawyers,23-1011,Line item,778.7,822.5,43.8,5.6,21.3,157.7,"$118,160",Doctoral or professional degree,None,None,
Food and beverage serving workers,35-3000,Summary,"6,940.0","7,475.1",535.1,7.7,0.2,"3,312.1","$19,750",—,—,—,
Athletes and sports competitors,27-2021,Line item,13.7,14.5,0.8,5.6,12.3,5.4,"$47,710",No formal educational credential,None,Long-term on-the-job training,
Fast food and counter workers,35-3020,Summary,"3,640.9","4,013.2",372.3,10.2,0.1,"1,682.7","$19,500",—,—,—,
Tree trimmers and pruners,37-3013,Line item,53.2,56.2,3.0,5.6,25.9,12.6,"$35,030",High school diploma or equivalent,None,Short-term on-the-job training,
"Communications equipment operators, all other",43-2099,Line item,3.3,3.5,0.2,5.6,23.2,0.8,"$39,640",High school diploma or equivalent,None,Short-term on-the-job training,
"Bus drivers, school or special client",53-3022,Line item,497.3,524.9,27.7,5.6,0.7,93.0,"$30,150",High school diploma or equivalent,None,Short-term on-the-job training,
Landscape architects,17-1012,Line item,22.5,23.7,1.2,5.5,18.6,4.9,"$63,480",Bachelor's degree,None,Internship/residency,
Other food preparation and serving related workers,35-9000,Summary,"1,345.3","1,371.4",26.1,1.9,0.2,762.6,"$20,310",—,—,—,
Fire inspectors and investigators,33-2021,Line item,12.4,13.1,0.7,5.5,2.8,4.3,"$58,440",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,
Childcare workers,39-9011,Line item,"1,260.6","1,329.9",69.3,5.5,27.1,441.3,"$21,170",High school diploma or equivalent,None,Short-term on-the-job training,
Heavy and tractor-trailer truck drivers,53-3032,Line item,"1,797.7","1,896.4",98.8,5.5,7.7,404.5,"$41,340",Postsecondary nondegree award,None,Short-term on-the-job training,
Electrical and electronics drafters,17-3012,Line item,30.1,31.7,1.6,5.4,1.4,5.2,"$59,970",Associate's degree,None,None,
Building and grounds cleaning and maintenance occupations,37-0000,Summary,"5,617.2","5,967.0",349.8,6.2,12.4,"1,489.2","$24,700",—,—,—,
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,425.9,450.2,24.3,5.7,34.3,93.1,"$40,880",—,—,—,
"Library assistants, clerical",43-4121,Line item,108.8,114.7,5.9,5.4,—,39.6,"$25,220",High school diploma or equivalent,None,Short-term on-the-job training,
Agricultural equipment operators,45-2091,Line item,57.8,60.9,3.1,5.4,0.7,18.5,"$28,850",No formal educational credential,None,Short-term on-the-job training,
Building cleaning and pest control workers,37-2000,Summary,"3,909.2","4,157.2",247.9,6.3,6.1,"1,087.3","$23,560",—,—,—,
Building cleaning workers,37-2010,Summary,"3,835.1","4,084.0",248.8,6.5,6.1,"1,068.7","$23,420",—,—,—,
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,447.1,471.4,24.3,5.4,0.0,113.5,"$63,540",High school diploma or equivalent,Less than 5 years,None,
Mechanical engineers,17-2141,Line item,277.5,292.1,14.6,5.3,1.2,102.5,"$84,190",Bachelor's degree,None,None,
Psychiatric aides,31-1013,Line item,77.3,81.4,4.1,5.3,1.1,21.6,"$26,720",High school diploma or equivalent,None,Short-term on-the-job training,
Firefighters,33-2011,Line item,327.3,344.7,17.4,5.3,—,112.3,"$48,030",Postsecondary nondegree award,None,Long-term on-the-job training,
Grounds maintenance workers,37-3000,Summary,"1,282.0","1,359.6",77.6,6.1,24.3,308.8,"$26,830",—,—,—,
